date,day_in_year,cases
2017-01-14,14,12
2017-01-21,21,27
2017-01-28,28,61
2017-02-04,35,104
2017-02-11,42,161
2017-02-18,49,213
2017-02-25,56,257
2017-03-04,63,291
2017-03-11,70,382
2017-03-18,77,399
2017-03-25,84,428
2017-04-01,91,455
2017-04-08,98,484
2017-04-15,105,517
2017-04-22,112,539
2017-04-29,119,554
2017-05-13,133,596
2017-05-27,147,631
2017-06-10,161,679
2017-07-17,198,697
2017-06-24,175,706
2017-07-01,182,716
2017-07-08,189,733
2017-07-15,196,751
2017-07-22,203,766
2017-07-29,210,793
2017-08-05,217,793
2017-08-12,224,831
2017-08-12,224,831
2017-09-30,273,843
2017-10-21,294,869
2017-10-28,301,874
2017-11-04,308,877
2017-11-11,315,883
2017-11-18,322,890
