date,day_in_year,cases
2017-01-14,14,3
2017-01-21,21,5
2017-01-28,28,6
2017-02-04,35,7
2017-02-11,42,15
2017-02-18,49,22
2017-02-25,56,23
2017-03-04,63,25
2017-03-11,70,31
2017-03-18,77,33
2017-03-25,84,34
2017-04-01,91,35
2017-04-08,98,40
2017-04-15,105,41
2017-04-22,112,45
2017-04-29,119,41
2017-05-13,133,43
2017-05-27,147,48
2017-06-10,161,50
2017-07-17,198,50
2017-06-24,175,52
2017-07-01,182,53
2017-07-08,189,54
2017-07-15,196,55
2017-07-22,203,56
2017-07-29,210,59
2017-08-05,217,55
2017-08-12,224,56
2017-08-12,224,56
2017-09-30,273,30
2017-10-21,294,31
2017-10-28,301,32
2017-11-04,308,35
2017-11-11,315,31
2017-11-18,322,31
